Grid	Lat/Lon hddd.ddddd°
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories

Waypoint	1KM	25-JUN-05 12:31:32PM	User Waypoint	N44.97836 W93.13802	922 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	1MILE	25-JUN-05 12:43:56PM	User Waypoint	N44.97580 W93.13936	910 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	2KM	25-JUN-05 12:48:53PM	User Waypoint	N44.97807 W93.14290	915 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	2MILE	25-JUN-05 12:26:20PM	User Waypoint	N44.98167 W93.13930	923 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	3KM	25-JUN-05 12:22:55PM	User Waypoint	N44.98343 W93.14021	928 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	3MILE	25-JUN-05 12:51:50PM	User Waypoint	N44.97991 W93.14370	916 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	4KM	25-JUN-05 12:39:44PM	User Waypoint	N44.97619 W93.13671	915 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	FINISH	25-JUN-05 12:54:23PM	User Waypoint	N44.98129 W93.14360	932 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	START	25-JUN-05 12:15:49PM	User Waypoint	N44.98308 W93.14320	941 ft				Symbol & Name	Unknown	Flag, Blue							


Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	COMO LAKE 5km		0:00:00	1.9 mi	0 mph	

Header	Position	Time	Altitude	Depth	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N44.98100 W93.13882		923 ft		4 ft			160° true
Trackpoint	N44.98090 W93.13876		920 ft		38 ft			158° true
Trackpoint	N44.98089 W93.13875		931 ft		5 ft			160° true
Trackpoint	N44.98088 W93.13875		920 ft		4 ft			165° true
Trackpoint	N44.98079 W93.13870		920 ft		33 ft			159° true
Trackpoint	N44.98037 W93.13849		921 ft		163 ft			160° true
Trackpoint	N44.98004 W93.13836		921 ft		125 ft			165° true
Trackpoint	N44.97969 W93.13831		920 ft		129 ft			174° true
Trackpoint	N44.97926 W93.13830		921 ft		157 ft			179° true
Trackpoint	N44.97886 W93.13828		923 ft		147 ft			178° true
Trackpoint	N44.97862 W93.13822		921 ft		89 ft			170° true
Trackpoint	N44.97836 W93.13802		917 ft		107 ft			151° true
Trackpoint	N44.97836 W93.13802		929 ft		0 ft			233° true
Trackpoint	N44.97836 W93.13802		925 ft		0 ft			215° true
Trackpoint	N44.97836 W93.13802		912 ft		0 ft			279° true
Trackpoint	N44.97836 W93.13802		929 ft		0 ft			299° true
Trackpoint	N44.97836 W93.13802		917 ft		0 ft			307° true
Trackpoint	N44.97836 W93.13802		920 ft		1 ft			307° true
Trackpoint	N44.97824 W93.13781		920 ft		73 ft			129° true
Trackpoint	N44.97807 W93.13734		920 ft		135 ft			116° true
Trackpoint	N44.97801 W93.13682		907 ft		135 ft			100° true
Trackpoint	N44.97801 W93.13681		915 ft		5 ft			95° true
Trackpoint	N44.97796 W93.13635		921 ft		119 ft			99° true
Trackpoint	N44.97780 W93.13595		921 ft		120 ft			119° true
Trackpoint	N44.97753 W93.13574		921 ft		112 ft			152° true
Trackpoint	N44.97724 W93.13572		921 ft		104 ft			176° true
Trackpoint	N44.97691 W93.13581		920 ft		125 ft			192° true
Trackpoint	N44.97667 W93.13594		931 ft		91 ft			201° true
Trackpoint	N44.97641 W93.13618		920 ft		115 ft			213° true
Trackpoint	N44.97623 W93.13652		920 ft		109 ft			233° true
Trackpoint	N44.97618 W93.13674		923 ft		61 ft			251° true
Trackpoint	N44.97611 W93.13692		921 ft		53 ft			240° true
Trackpoint	N44.97605 W93.13709		918 ft		48 ft			244° true
Trackpoint	N44.97603 W93.13707		920 ft		9 ft			146° true
Trackpoint	N44.97593 W93.13734		921 ft		78 ft			244° true
Trackpoint	N44.97590 W93.13761		921 ft		72 ft			261° true
Trackpoint	N44.97591 W93.13757		920 ft		11 ft			80° true
